"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"1",2200053,"220005",6933,6933,NA,0,"FALSE"
"2",2200251,"220025",7501,7501,NA,0,"FALSE"
"3",2200277,"220027",4832,4832,NA,12,"FALSE"
"4",2200459,"220045",5278,5278,NA,4,"FALSE"
"5",2200707,"220070",9597,9597,NA,0,NA
"6",2200905,"220090",5763,5763,NA,0,NA
"7",2200954,"220095",2460,NA,NA,NA,NA
"8",2201051,"220105",7686,7686,NA,19,"FALSE"
"9",2201101,"220110",11433,11433,NA,0,"TRUE"
"10",2201556,"220155",3919,NA,NA,NA,"FALSE"
"11",2201572,"220157",3464,3464,NA,0,NA
"12",2201705,"220170",5402,5402,NA,0,NA
"13",2201739,"220173",6097,NA,NA,NA,"FALSE"
"14",2201804,"220180",4436,4436,NA,0,NA
"15",2201903,"220190",24327,24327,NA,0,NA
"16",2201929,"220192",5549,5549,NA,0,NA
"17",2201988,"220198",3871,3871,NA,0,"FALSE"
"18",2202026,"220202",8188,8188,NA,16,"FALSE"
"19",2202075,"220207",3471,NA,NA,NA,NA
"20",2202091,"220209",5674,NA,NA,NA,NA
"21",2202109,"220210",5507,5507,NA,0,NA
"22",2202117,"220211",4911,NA,NA,NA,NA
"23",2202133,"220213",5801,5801,5801,0,"FALSE"
"24",2202251,"220225",3904,3904,NA,0,NA
"25",2202307,"220230",20700,20700,NA,0,"FALSE"
"26",2202455,"220245",4008,4008,NA,0,"FALSE"
"27",2202505,"220250",10641,10641,NA,0,NA
"28",2202554,"220255",4994,4994,NA,0,NA
"29",2202604,"220260",18160,18160,NA,0,"FALSE"
"30",2202752,"220275",6314,6314,NA,0,NA
"31",2202778,"220277",7527,7527,NA,0,NA
"32",2202802,"220280",4536,4536,NA,0,"FALSE"
"33",2202851,"220285",4602,4602,NA,0,NA
"34",2203107,"220310",10214,10214,NA,0,NA
"35",2203206,"220320",11121,11121,NA,0,NA
"36",2203230,"220323",4845,NA,NA,NA,NA
"37",2203271,"220327",5086,5086,NA,0,NA
"38",2203354,"220335",6862,6862,NA,0,NA
"39",2203404,"220340",6756,6756,NA,0,"FALSE"
"40",2203420,"220342",4290,4290,NA,0,NA
"41",2203453,"220345",9387,NA,NA,NA,"FALSE"
"42",2203602,"220360",4807,4807,NA,0,NA
"43",2203750,"220375",5199,NA,NA,NA,NA
"44",2203800,"220380",4394,4394,NA,0,NA
"45",2203859,"220385",2515,NA,NA,NA,NA
"46",2204154,"220415",3097,NA,NA,NA,"FALSE"
"47",2204204,"220420",9054,9054,NA,0,"FALSE"
"48",2204303,"220430",11372,11372,NA,0,"FALSE"
"49",2204352,"220435",5319,NA,NA,NA,NA
"50",2204550,"220455",4478,4478,NA,0,NA
"51",2204709,"220470",15044,15044,15044,0,"FALSE"
"52",2204808,"220480",9599,9599,NA,0,"FALSE"
"53",2204907,"220490",8408,8408,NA,0,NA
"54",2205003,"220500",11354,11354,NA,0,NA
"55",2205102,"220510",10828,10828,NA,0,"FALSE"
"56",2205151,"220515",5682,5682,NA,0,NA
"57",2205201,"220520",18660,18660,NA,0,NA
